SN,PART #,DESCRIPTION,UOM,BRAND,PRICE,CURRENCY
78,00-0372E,"GENETITAN MC SYSTEM NA, EA EACH",EACH,THERMOFISHER,"286,130.00",USD
79,00-0372R,"GENETITAN MC SYSTEM NA, REFURB EACH",EACH,THERMOFISHER,"238,940.00",USD
80,00-0372RAG,"GENETITAN MC SYSTEM NA AG, RF EACH",EACH,THERMOFISHER,"265,460.00",USD
81,00-0373,GENETITAN MC SYSTEM INTL EACH,EACH,THERMOFISHER,"216,450.00",USD
82,00-0373AG,GENETITAN MC SYSTEM INTL AG EACH,EACH,THERMOFISHER,"250,055.00",USD
83,00-0373C,"GENETITAN MC SYSTEM INTL, CA EACH",EACH,THERMOFISHER,"263,380.00",USD
84,00-0373E,"GENETITAN MC SYSTEM INTL, EA EACH",EACH,THERMOFISHER,"286,130.00",USD
85,00-0373ER,"GENETITAN MC SYSTEM INT, REFRB EACH",EACH,THERMOFISHER,"209,781.65",USD
86,00-0373R,"GENETITAN MC SYSTEM INT, REFRB EACH",EACH,THERMOFISHER,"238,940.00",USD
87,00-0373RAG,"GENETITAN MC SYSTEM INT AG, RF EACH",EACH,THERMOFISHER,"265,460.00",USD
88,00-0400-46,ELISA WASH BUFFER 10X1L PACK,10X1L PACK,THERMOFISHER,113.75,USD
89,00-0400-59,ELISA WASH BUFFER POWDER 1L PACK,1L PACK,THERMOFISHER,122.85,USD
90,00-0401,NIMBUS TARGET PREP INSTRUMENT EACH,EACH,THERMOFISHER,"92,495.00",USD
91,00-0402E,PREOWNED GCS3000 7G W/WORKSTAT AUTOLOADER,AUTOLOADER,THERMOFISHER,"92,950.00",USD
92,00-0402G,"PO GCS3000 7G W/WS & AL WW, GA","WW, GA",THERMOFISHER,"92,885.00",USD
93,00-0403E,"PREOWNED GCS3000 7G SYSTEM WW, EA- EACH",EA- EACH,THERMOFISHER,"83,980.00",USD
94,00-0403G,"PREOWNED GCS3000 7G SYSTEM WW, EACH",EACH,THERMOFISHER,"82,160.00",USD
95,00-0430,CONCERTO RUO 120V 09337407001 EA- EACH,EA- EACH,THERMOFISHER,"176,085.00",USD
96,00-0431,CONCERTO RUO 230V 09337458001 EA- EACH,EA- EACH,THERMOFISHER,"172,705.00",USD
97,00-0436,CONCERTO IVD 120V 09337393001 KIT,KIT,THERMOFISHER,"210,730.00",USD
98,00-0437,CONCERTO IVD 230V 09337423001 KIT,KIT,THERMOFISHER,"210,730.00",USD
99,00-0441,GENETITAN SCANNER EA,EA,THERMOFISHER,"205,725.00",USD
